id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,2.81958,1.21288,0,0,0,0.0479984,0.998847,
1,2.48956,3.83877,0,0,0,0.0607971,0.99815,
2,2.25095,6.5457,0,0,0,0.04472,0.999,
3,4.18594,8.03476,0,0,0,0.0534645,0.99857,
4,6.0251,8.17032,0,0,0,0.0436035,0.999049,
5,1.91443,8.07618,0,0,0,0.0403181,0.999187,
6,2.13,5.17408,0,0,0,0.023203,0.999731,
7,2.52443,1.77103,1.90735e-06,0,0,0.0727877,0.997347,
8,4.57432,-0.176167,0,0,0,-0.0325354,0.999471,
9,7.53029,-0.101876,0,0,0,0.0415585,0.999136,
10,3.58258,-0.573001,0,0,0,0.0150747,0.999886,
11,2.54962,1.7889,0,0,0,0.0345901,0.999402,
